"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"3843","100611 (3843)","3795","100599 (3795)","1/1/2017 - 3/31/2017, Every day, Daily Average",70,35,137
"3843","100611 (3843)","3796","100472 (3796)","1/1/2017 - 3/31/2017, Every day, Daily Average",797,602,1054
"3843","100611 (3843)","3798","100543 (3798)","1/1/2017 - 3/31/2017, Every day, Daily Average",458,327,640
"3843","100611 (3843)","3801","100453 (3801)","1/1/2017 - 3/31/2017, Every day, Daily Average",909,697,1185
"3843","100611 (3843)","3802","100141 (3802)","1/1/2017 - 3/31/2017, Every day, Daily Average",633,404,989
"3843","100611 (3843)","3803","100544 (3803)","1/1/2017 - 3/31/2017, Every day, Daily Average",603,424,855
"3843","100611 (3843)","3804","100594 (3804)","1/1/2017 - 3/31/2017, Every day, Daily Average",135,49,368
"3843","100611 (3843)","3805","100054 (3805)","1/1/2017 - 3/31/2017, Every day, Daily Average",103,45,231
"3843","100611 (3843)","3806","100076 (3806)","1/1/2017 - 3/31/2017, Every day, Daily Average",478,317,720
"3843","100611 (3843)","3807","100074 (3807)","1/1/2017 - 3/31/2017, Every day, Daily Average",586,395,868
"3843","100611 (3843)","3808","508595 (3808)","1/1/2017 - 3/31/2017, Every day, Daily Average",2586,2291,2918
"3843","100611 (3843)","3809","100432 (3809)","1/1/2017 - 3/31/2017, Every day, Daily Average",1103,874,1390
"3843","100611 (3843)","3810","100596 (3810)","1/1/2017 - 3/31/2017, Every day, Daily Average",231,149,355
"3843","100611 (3843)","3811","100113 (3811)","1/1/2017 - 3/31/2017, Every day, Daily Average",773,541,1103
"3843","100611 (3843)","3812","100052 (3812)","1/1/2017 - 3/31/2017, Every day, Daily Average",213,120,376
"3843","100611 (3843)","3813","100585 (3813)","1/1/2017 - 3/31/2017, Every day, Daily Average",384,270,545
"3843","100611 (3843)","3815","100597 (3815)","1/1/2017 - 3/31/2017, Every day, Daily Average",267,180,394
"3843","100611 (3843)","3816","100426 (3816)","1/1/2017 - 3/31/2017, Every day, Daily Average",1236,987,1547
"3843","100611 (3843)","3819","100531 (3819)","1/1/2017 - 3/31/2017, Every day, Daily Average",572,425,769
"3843","100611 (3843)","3820","100116 (3820)","1/1/2017 - 3/31/2017, Every day, Daily Average",605,424,862
"3843","100611 (3843)","3821","100411 (3821)","1/1/2017 - 3/31/2017, Every day, Daily Average",1227,1002,1502
"3843","100611 (3843)","3822","100533 (3822)","1/1/2017 - 3/31/2017, Every day, Daily Average",595,446,793
"3843","100611 (3843)","3823","100501 (3823)","1/1/2017 - 3/31/2017, Every day, Daily Average",647,487,859
"3843","100611 (3843)","3824","100582 (3824)","1/1/2017 - 3/31/2017, Every day, Daily Average",313,215,453
"3843","100611 (3843)","3825","100415 (3825)","1/1/2017 - 3/31/2017, Every day, Daily Average",1246,1024,1515
"3843","100611 (3843)","3826","100503 (3826)","1/1/2017 - 3/31/2017, Every day, Daily Average",686,522,899
"3843","100611 (3843)","3828","100481 (3828)","1/1/2017 - 3/31/2017, Every day, Daily Average",751,578,974
"3843","100611 (3843)","3829","100545 (3829)","1/1/2017 - 3/31/2017, Every day, Daily Average",509,372,695
"3843","100611 (3843)","3830","100416 (3830)","1/1/2017 - 3/31/2017, Every day, Daily Average",1333,1083,1640
"3843","100611 (3843)","3831","100075 (3831)","1/1/2017 - 3/31/2017, Every day, Daily Average",542,350,836
"3843","100611 (3843)","3833","100485 (3833)","1/1/2017 - 3/31/2017, Every day, Daily Average",852,659,1100
"3843","100611 (3843)","3836","100461 (3836)","1/1/2017 - 3/31/2017, Every day, Daily Average",994,761,1298
"3843","100611 (3843)","3837","100061 (3837)","1/1/2017 - 3/31/2017, Every day, Daily Average",339,204,561
"3843","100611 (3843)","3838","100115 (3838)","1/1/2017 - 3/31/2017, Every day, Daily Average",681,460,1006
"3843","100611 (3843)","3839","100441 (3839)","1/1/2017 - 3/31/2017, Every day, Daily Average",1029,806,1312
"3843","100611 (3843)","3840","100595 (3840)","1/1/2017 - 3/31/2017, Every day, Daily Average",133,72,243
"3843","100611 (3843)","3842","100446 (3842)","1/1/2017 - 3/31/2017, Every day, Daily Average",1075,862,1339
"3843","100611 (3843)","3844","100584 (3844)","1/1/2017 - 3/31/2017, Every day, Daily Average",334,229,485
"3843","100611 (3843)","3846","406434 (3846)","1/1/2017 - 3/31/2017, Every day, Daily Average",1570,1231,2001
"3843","100611 (3843)","3847","100421 (3847)","1/1/2017 - 3/31/2017, Every day, Daily Average",1141,912,1426
"3843","100611 (3843)","3848","100598 (3848)","1/1/2017 - 3/31/2017, Every day, Daily Average",173,101,295
"3843","100611 (3843)","3850","100425 (3850)","1/1/2017 - 3/31/2017, Every day, Daily Average",1212,964,1522
"3843","100611 (3843)","3851","100122 (3851)","1/1/2017 - 3/31/2017, Every day, Daily Average",525,361,763
"3843","100611 (3843)","3852","406763 (3852)","1/1/2017 - 3/31/2017, Every day, Daily Average",1698,1319,2184
"3843","100611 (3843)","3858","100583 (3858)","1/1/2017 - 3/31/2017, Every day, Daily Average",234,155,352
"3843","100611 (3843)","3859","100542 (3859)","1/1/2017 - 3/31/2017, Every day, Daily Average",432,303,614
"3843","100611 (3843)","3860","100063 (3860)","1/1/2017 - 3/31/2017, Every day, Daily Average",390,242,626
"3843","100611 (3843)","3862","100484 (3862)","1/1/2017 - 3/31/2017, Every day, Daily Average",780,615,988
"3843","100611 (3843)","3863","100791 (3863)","1/1/2017 - 3/31/2017, Every day, Daily Average",725,509,1031
"3843","100611 (3843)","3865","100462 (3865)","1/1/2017 - 3/31/2017, Every day, Daily Average",935,727,1201
