"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"3843","100611 (3843)","1740","810072 (1740)","1/1/2016 - 3/31/2016, Every day, Daily Average",3135,2716,3617
"3843","100611 (3843)","1763","810065 (1763)","1/1/2016 - 3/31/2016, Every day, Daily Average",2954,2675,3261
"3843","100611 (3843)","1767","810071 (1767)","1/1/2016 - 3/31/2016, Every day, Daily Average",3021,2737,3334
"3843","100611 (3843)","1790","810066 (1790)","1/1/2016 - 3/31/2016, Every day, Daily Average",2974,2572,3437
"3843","100611 (3843)","1845","910670 (1845)","1/1/2016 - 3/31/2016, Every day, Daily Average",2432,1902,3109
"3843","100611 (3843)","1858","809971 (1858)","1/1/2016 - 3/31/2016, Every day, Daily Average",2770,2504,3063
"3843","100611 (3843)","1893","809974 (1893)","1/1/2016 - 3/31/2016, Every day, Daily Average",2737,2474,3027
"3843","100611 (3843)","1931","810034 (1931)","1/1/2016 - 3/31/2016, Every day, Daily Average",2749,2341,3227
"3843","100611 (3843)","1954","810005 (1954)","1/1/2016 - 3/31/2016, Every day, Daily Average",2688,2312,3124
"3843","100611 (3843)","1963","809980 (1963)","1/1/2016 - 3/31/2016, Every day, Daily Average",2675,2348,3046
"3843","100611 (3843)","1975","80997A (1975)","1/1/2016 - 3/31/2016, Every day, Daily Average",2687,2196,3287
"3843","100611 (3843)","1977","810014 (1977)","1/1/2016 - 3/31/2016, Every day, Daily Average",2542,2226,2902
"3843","100611 (3843)","1994","910502 (1994)","1/1/2016 - 3/31/2016, Every day, Daily Average",2429,1944,3034
"3843","100611 (3843)","2041","910490 (2041)","1/1/2016 - 3/31/2016, Every day, Daily Average",2353,1843,3003
"3843","100611 (3843)","2089","910513 (2089)","1/1/2016 - 3/31/2016, Every day, Daily Average",2229,1761,2820
"3843","100611 (3843)","2113","910512 (2113)","1/1/2016 - 3/31/2016, Every day, Daily Average",2193,1762,2728
"3843","100611 (3843)","2129","910552 (2129)","1/1/2016 - 3/31/2016, Every day, Daily Average",2160,1729,2696
"3843","100611 (3843)","2156","910551 (2156)","1/1/2016 - 3/31/2016, Every day, Daily Average",2105,1695,2613
"3843","100611 (3843)","2163","910571 (2163)","1/1/2016 - 3/31/2016, Every day, Daily Average",2080,1674,2584
"3843","100611 (3843)","2169","910592 (2169)","1/1/2016 - 3/31/2016, Every day, Daily Average",2098,1632,2696
"3843","100611 (3843)","2176","910594 (2176)","1/1/2016 - 3/31/2016, Every day, Daily Average",2104,1668,2653
"3843","100611 (3843)","2178","910582 (2178)","1/1/2016 - 3/31/2016, Every day, Daily Average",2027,1648,2492
"3843","100611 (3843)","2214","910581 (2214)","1/1/2016 - 3/31/2016, Every day, Daily Average",2020,1584,2575
"3843","100611 (3843)","2249","910617 (2249)","1/1/2016 - 3/31/2016, Every day, Daily Average",1911,1534,2379
"3843","100611 (3843)","2266","910615 (2266)","1/1/2016 - 3/31/2016, Every day, Daily Average",1911,1510,2418
"3843","100611 (3843)","2273","910601 (2273)","1/1/2016 - 3/31/2016, Every day, Daily Average",1880,1487,2376
"3843","100611 (3843)","2318","910641 (2318)","1/1/2016 - 3/31/2016, Every day, Daily Average",1821,1452,2283
"3843","100611 (3843)","2319","910613 (2319)","1/1/2016 - 3/31/2016, Every day, Daily Average",1776,1420,2221
"3843","100611 (3843)","2336","910623 (2336)","1/1/2016 - 3/31/2016, Every day, Daily Average",1750,1394,2196
"3843","100611 (3843)","2367","910621 (2367)","1/1/2016 - 3/31/2016, Every day, Daily Average",1624,1414,1864
"3843","100611 (3843)","2382","910651 (2382)","1/1/2016 - 3/31/2016, Every day, Daily Average",1968,1689,2292
"3843","100611 (3843)","2398","910634 (2398)","1/1/2016 - 3/31/2016, Every day, Daily Average",1792,1447,2219
"3843","100611 (3843)","2441","910631 (2441)","1/1/2016 - 3/31/2016, Every day, Daily Average",1707,1375,2118
"3843","100611 (3843)","2478","910791 (2478)","1/1/2016 - 3/31/2016, Every day, Daily Average",1676,1339,2097
"3843","100611 (3843)","2508","910780 (2508)","1/1/2016 - 3/31/2016, Every day, Daily Average",1696,1339,2147
"3843","100611 (3843)","2533","910733 (2533)","1/1/2016 - 3/31/2016, Every day, Daily Average",1980,1613,2430
"3843","100611 (3843)","2570","910732 (2570)","1/1/2016 - 3/31/2016, Every day, Daily Average",1856,1561,2206
"3843","100611 (3843)","2598","910772 (2598)","1/1/2016 - 3/31/2016, Every day, Daily Average",1676,1403,2002
"3843","100611 (3843)","2600","910771 (2600)","1/1/2016 - 3/31/2016, Every day, Daily Average",1639,1285,2088
"3843","100611 (3843)","2611","910741 (2611)","1/1/2016 - 3/31/2016, Every day, Daily Average",1798,1458,2216
"3843","100611 (3843)","2616","910793 (2616)","1/1/2016 - 3/31/2016, Every day, Daily Average",1754,1319,2331
"3843","100611 (3843)","2626","910794 (2626)","1/1/2016 - 3/31/2016, Every day, Daily Average",1661,1304,2114
"3843","100611 (3843)","2630","910762 (2630)","1/1/2016 - 3/31/2016, Every day, Daily Average",1805,1344,2422
"3843","100611 (3843)","2636","910740 (2636)","1/1/2016 - 3/31/2016, Every day, Daily Average",1825,1500,2220
"3843","100611 (3843)","2638","910814 (2638)","1/1/2016 - 3/31/2016, Every day, Daily Average",1613,1262,2060
